��Brand,product_id,catalog_number,description,image
Stearns,2131101,108700200016,STEARNS 108700200016 BRK-RL TACH MACH 191630,
Stearns,2131102,108700200017,STEARNS 108700200017 BRK-TACH MTGTHRU SHAFT 237740,
Stearns,2131103,108700200019,STEARNS 108700200019 BRK-480V@60CLHHTR 283054,
Stearns,2131109,108700205001,STEARNS 108700205001 FULL SIDE REL-MAN RESET 8001337,
Stearns,2131110,108700205002,STEARNS 108700205002 BRK-BISSC DEADMAN REL. 8030306,
Stearns,2131112,108700400 QF,STEARNS 108700400 QF BRAKE ASSY-STD-LESS HUB 8006371,
Stearns,2131115,108700400001,STEARNS 108700400001 BRK-CARRIERCL HINT REL 218039,
Stearns,2131116,108700400002,STEARNS 108700400002 BRK-CARRCL HINT RELHTR 271566,
Stearns,2131117,108700400003,STEARNS 108700400003 IP55-CARRCL HINT RLHTR 286146,
Stearns,2131127,108700600001,STEARNS 108700600001 BRK-HZ/VBDC SWNO HUB 195793,
Stearns,2131138,1087011C0DLF,STEARNS 1087011C0DLF BRAKE ASSY-INT 8097512,
Stearns,2131142,1087011G0 QF,STEARNS 1087011G0 QF BRAKE ASSY-INT-LESS HUB 8027141,
Stearns,2131176,1087011Z0EPF,STEARNS 1087011Z0EPF BRAKE ASSY-INT 8027155,
Stearns,2131201,108701100ENF,STEARNS 108701100ENF BRAKE ASSY-STD 8027165,
Stearns,2131204,108701100EQF,STEARNS 108701100EQF BRAKE ASSY-STD 8016741,
Stearns,2131231,108701100036,STEARNS 108701100036 BRK-ODD KWY IN 3/4^ BORE 8027185,
Stearns,2131232,108701100043,STEARNS 108701100043 RL TAC MACHWARN SWNOHUB 8074759,
Stearns,2131233,108701100050,STEARNS 108701100050 BRK-VERT ABOVETHRU SHAFT 8027192,
Stearns,2131234,108701100051,STEARNS 108701100051 BRK-CARRIERCL HLESS HUB 8027193,
Stearns,2131235,108701100056,STEARNS 108701100056 BRK-STD BRK & ADAPTER KIT 8041138,
Stearns,2131236,108701100063,STEARNS 108701100063 BRK-RL TACH MACHSPLN HUB 8087831,
Stearns,2131237,108701100064,STEARNS 108701100064 BRK-RL TACH MACHSPLN HUB 8094869,
Stearns,2131238,108701100065,STEARNS 108701100065 BRK-END PLATE(CI) 8095553,
Stearns,2131239,108701100066,STEARNS 108701100066 ODD VOLTAGE 480V @ 60 HZ 8096141,
Stearns,2131240,108701100069,STEARNS 108701100069 BRK-VATHRU SHFT&SIDE REL 8097282,
Stearns,2131241,108701100070,STEARNS 108701100070 BRK-IRCARRIER RINGCL H 8098579,
Stearns,2131242,108701100071,STEARNS 108701100071 BRK-RL TACH MACHSPLN HUB 8098689,
Stearns,2131243,108701100075,STEARNS 108701100075 THRU SHAFT-1.34 HNO HUB 8000214,
Stearns,2131244,108701100076,STEARNS 108701100076 BRK-RL TACH MACHSPLN HUB 8008155,
Stearns,2131245,108701100077,STEARNS 108701100077 BRK-RL TACH MACHSPLN HUB 8013373,
Stearns,2131246,108701100078,STEARNS 108701100078 BRK-THRU SHAFT220/380V50 8009009,
Stearns,2131247,108701100079,STEARNS 108701100079 BRK-SQ FRIC DISCLESS HUB 8003735,
Stearns,2131248,108701100081,STEARNS 108701100081 RL TAC MACHWARN SWW/HUB 8009927,
Stearns,2131249,108701100082,STEARNS 108701100082 RL TAC MACHWARN SWW/HUB 8010031,
Stearns,2131250,108701100083,STEARNS 108701100083 RL TAC MACHWARN SWW/HUB 8013688,
Stearns,2131251,108701100086,STEARNS 108701100086 RL TAC MCHWRN SW30MM HB 127338,
Stearns,2131252,108701100087,STEARNS 108701100087 BRK-STD BRK W/BLACK PAINT 127320,
Stearns,2131253,108701100088,STEARNS 108701100088 BRK-ODD HUB 1.00B.X3/16KY 127333,
Stearns,2131254,108701100089,STEARNS 108701100089 RL TACHSOL SWPILOT HUB 127727,
Stearns,2131255,108701100091,STEARNS 108701100091 BRK-RL TACH MACHSPLN HUB 135949,
Stearns,2131256,108701100092,STEARNS 108701100092 BRK-IRCARRIER RINGCL H 141797,
Stearns,2131257,108701100094,STEARNS 108701100094 BRK-CARR RNGOMIT EXT. RL 149511,
Stearns,2131258,108701100095,STEARNS 108701100095 BRK-RL TACH W/THRU SHAFT 168055,
Stearns,2131259,108701100096,STEARNS 108701100096 BRK-RL TACH W/THRU SHAFT 169826,
Stearns,2131260,108701100097,STEARNS 108701100097 BRK-IRCARRIER RINGCL H 173854,
Stearns,2131261,108701100098,STEARNS 108701100098 BRK-RL TACHVERT.ABOVE 175287,
Stearns,2131262,108701100099,STEARNS 108701100099 BRK-RL TACHVERT.ABOVE 175286,
Stearns,2131263,108701100100,STEARNS 108701100100 BRK-STD BRK W/BLACK PAINT 189193,
Stearns,2131264,108701100101,STEARNS 108701100101 BRK-3/4B ODD KWY 1/8X5/64 195075,
Stearns,2131265,108701100102,STEARNS 108701100102 BRK-RL TACHTHRU 197663,
Stearns,2131266,108701100103,STEARNS 108701100103 BRK-RL TACHTHRU 204998,
Stearns,2131267,108701100104,STEARNS 108701100104 BRK-CLASS HSPACE HTR 218506,
Stearns,2131268,108701100105,STEARNS 108701100105 BRK-ODD HUB 221502,
Stearns,2131269,108701100106,STEARNS 108701100106 FULL SIDE REL-MAN RESET 222078,
Stearns,2131270,108701100107,STEARNS 108701100107 BRK-RL TACHVERT.ABOVE 230587,
Stearns,2131271,108701100108,STEARNS 108701100108 4 TAC MTG BOLTS&THRU SHFT 233309,
Stearns,2131272,108701100109,STEARNS 108701100109 BRK-C.I.HSGTHRUODD HUB 236874,
Stearns,2131273,108701100110,STEARNS 108701100110 4 TAC MTG BOLTS&THRU SHFT 237070,
Stearns,2131275,108701103DQF,STEARNS 108701103DQF BRAKE ASSY-STD 125269,
Stearns,2131284,108701105DCF,STEARNS 108701105DCF BRAKE ASSY-STD 8097882,
Stearns,2131298,108701107FNF,STEARNS 108701107FNF BRAKE ASSY-INT 284024,
Stearns,2131304,1087012A0BLF,STEARNS 1087012A0BLF BRAKE ASSY-INT 283610,
Stearns,2131356,108701200 QF,STEARNS 108701200 QF BRAKE ASSY-STD-LESS HUB 8016764,
Stearns,2131375,108701200EQF,STEARNS 108701200EQF BRAKE ASSY-STD 8016775,
Stearns,2131387,108701200HQF,STEARNS 108701200HQF BRAKE ASSY-STD 286222,
Stearns,2131395,108701200002,STEARNS 108701200002 BRK-SPEC RL TACH MACH 8097137,
Stearns,2131396,108701200014,STEARNS 108701200014 BRK-RL TACH MCHVAW/ HUB 8027263,
Stearns,2131397,108701200028,STEARNS 108701200028 BRK-RL TACH MACHW/ HUB 8027267,
Stearns,2131398,108701200035,STEARNS 108701200035 BRK-RL TACH MCHVAW/ HUB 8027271,
Stearns,2131399,108701200038,STEARNS 108701200038 BRK-RL TACH MACHW/ HUB 8027274,
Stearns,2131400,108701200039,STEARNS 108701200039 BRK-RL TACH MACHW/O HUB 8027275,
Stearns,2131401,108701200042,STEARNS 108701200042 BRK-VATHRU SHAFTWARN SW 8046702,
Stearns,2131402,108701200043,STEARNS 108701200043 BRK-HVY DUTY DICSCLASS H 8047080,
Stearns,2131403,108701200044,STEARNS 108701200044 BRK-THRU SHFTVAHTRW SW 8048226,
Stearns,2131404,108701200045,STEARNS 108701200045 BRK-Q MODSOL & RL ROD SW 8060086,
Stearns,2131405,108701200046,STEARNS 108701200046 VASTNL PBRHTRSWFT MT 8067044,
Stearns,2131406,108701200047,STEARNS 108701200047 BRK-GE TACH MACH 5.88 BC 8068302,
Stearns,2131407,108701200048,STEARNS 108701200048 BRK-ODD 440V 60HZ 8069247,
Stearns,2131408,108701200050,STEARNS 108701200050 VAM MODSTNL HDWMOBIL Z 8072141,
Stearns,2131409,108701200051,STEARNS 108701200051 VATHRU SHFTBR PLHTRSW 8073641,
Stearns,2131410,108701200053,STEARNS 108701200053 BRK-ODD 440V 60HZ 8095315,
Stearns,2131411,108701200056,STEARNS 108701200056 CARRIERRL ROD SWHTR 8097072,
Stearns,2131412,108701200057,STEARNS 108701200057 RL TACH MACHW/ SPLN HUB 8099017,
Stearns,2131413,108701200058,STEARNS 108701200058 BRK-CARRIERNO EXT REL 8099216,
Stearns,2131414,108701200059,STEARNS 108701200059 BR-THRU SHAFTHTRWARN SW 8099459,
Stearns,2131415,108701200060,STEARNS 108701200060 RL TACH MACHW/ SPLN HUB 8010358,
Stearns,2131416,108701200061,STEARNS 108701200061 BRK-230V HTRCLASS ^H^INS 8001444,
Stearns,2131417,108701200062,STEARNS 108701200062 BRASS PRTHRU SHFT480V60 8010568,
Stearns,2131418,108701200063,STEARNS 108701200063 BRK-SPEC RL TACH MACH 8007001,
Stearns,2131419,108701200064,STEARNS 108701200064 BRK-THRU SHFTHTR & BRASS 8007817,
Stearns,2131420,108701200065,STEARNS 108701200065 BRK-RL TACH MACHW/ HUB 8011022,
Stearns,2131421,108701200066,STEARNS 108701200066 BRK-115V HTRCLASS ^H^INS 8003504,
Stearns,2131422,108701200067,STEARNS 108701200067 BRK-HSG W/ NPT FOR VB APP 8010290,
Stearns,2131423,108701200068,STEARNS 108701200068 BRK-HSG W/ NPT FOR VB APP 8010291,
Stearns,2131424,108701200069,STEARNS 108701200069 BRK-RL TACH MACHV.BELOW 8011616,
Stearns,2131425,108701200070,STEARNS 108701200070 VERT ABRSS PR PLCLASS H 8029060,
Stearns,2131426,108701200071,STEARNS 108701200071 BRK-115V HTRSW&C/BOX-F2 8030181,
Stearns,2131427,108701200072,STEARNS 108701200072 BISSC BRK-THRU SHAFT 131810,
Stearns,2131428,108701200073,STEARNS 108701200073 BRK-RL TACH MCHVAW/ HUB 124752,
Stearns,2131429,108701200074,STEARNS 108701200074 BRK-VERT ARL TACH MACH 129233,
Stearns,2131430,108701200076,STEARNS 108701200076 BRK-SPEC RL TACH MACH 135229,
Stearns,2131431,108701200077,STEARNS 108701200077 BRK-RL TACH & THRU SHFT 144592,
Stearns,2131432,108701200078,STEARNS 108701200078 BRK-ODD 208V @ 60HZ 156151,
Stearns,2131433,108701200079,STEARNS 108701200079 H&Q MODSBRASSSTNL PSW 167916,
Stearns,2131434,108701200080,STEARNS 108701200080 CL HBRSTNL PSWMTL PLG 168516,
Stearns,2131435,108701200083,STEARNS 108701200083 BRK-RL TACH MCH 169360,
Stearns,2131436,108701200084,STEARNS 108701200084 BRK-RL TACH MCH 169361,
Stearns,2131437,108701200086,STEARNS 108701200086 BRK-VERT.ABOVEBRASSHTR 173682,
Stearns,2131438,108701200087,STEARNS 108701200087 BRK-RL TACH & THRU SHFT 189669,
Stearns,2131439,108701200088,STEARNS 108701200088 BRK-TACHTHRUVERT.ABOVE 191596,
Stearns,2131440,108701200089,STEARNS 108701200089 BRK-32MM BORE/METRIC KWY 191801,
Stearns,2131441,108701200090,STEARNS 108701200090 BRK-SQUARE FRIC DISC 192420,
Stearns,2131442,108701200091,STEARNS 108701200091 BRK-RL TACHTHRU SHAFT 193866,
Stearns,2131443,108701200092,STEARNS 108701200092 BRK-32MM BORE/METRIC KWY 195818,
Stearns,2131444,108701200093,STEARNS 108701200093 BRK-LESS HUBMOTOR GSKT 206506,
Stearns,2131445,108701200094,STEARNS 108701200094 BRK-RL TACH MACHCL H 211198,
Stearns,2131446,108701200095,STEARNS 108701200095 BRK-SPEC RL TACH MACH 211872,
Stearns,2131447,108701200096,STEARNS 108701200096 BRK-BISSCCL H 218648,
Stearns,2131448,108701200097,STEARNS 108701200097 BRK-RL TACHTHRU SHAFT 220779,
Stearns,2131449,108701200099,STEARNS 108701200099 BRK-TACH MACH400V@50HZ 259814,
Stearns,2131450,108701200100,STEARNS 108701200100 BRK-HTRBREATHER DRAIN 229202,
Stearns,2131451,108701200101,STEARNS 108701200101 BRK-RL TACHTHRU SHFTCLH 230506,
Stearns,2131452,108701200102,STEARNS 108701200102 SWHTRC-BOX W/TERM F2 235195,
Stearns,2131453,108701200106,STEARNS 108701200106 DBL C400@50CLHHTSW-4X 262801,
Stearns,2131454,108701200107,STEARNS 108701200107 BRK-THRU SHAFTTACH MTG 272625,
Stearns,2131455,108701200110,STEARNS 108701200110 BRK-CLHINT RELZINC CARR 281049,
Stearns,2131456,108701200111,STEARNS 108701200111 BR-THRU SHAFTHTRWARN SW 283021,
Stearns,2131457,108701200112,STEARNS 108701200112 BRASSHTRSOL&RL ROD SWS 284914,
Stearns,2131458,108701200113,STEARNS 108701200113 BRK-RL TACH MACH 286012,
Stearns,2131460,108701203001,STEARNS 108701203001 BRK-VERT ABOVETHRU SHAFT 8027276,
Stearns,2131465,108701205006,STEARNS 108701205006 BRK-VERT ATHERMO PROT SW 8088872,
Stearns,2131466,108701205007,STEARNS 108701205007 BRK-ODD 400V @ 50HZ 8002410,
Stearns,2131467,108701205008,STEARNS 108701205008 BRK-HJ&Q MODSSW208V60 8010500,
Stearns,2131468,108701205009,STEARNS 108701205009 BRK-SWHTRC-BOX W/TERM 236092,
Stearns,2131469,108701207,STEARNS 108701207 NF BRAKE ASSY-STD-LESS HUB 8073673,
Stearns,2131480,108701400001,STEARNS 108701400001 BISSC-BRZ C/RHTRIRCL H 126853,
Stearns,2131481,108701405001,STEARNS 108701405001 BISSC-INT RELCARRIERCLH 124703,
Stearns,2131482,108701405002,STEARNS 108701405002 N4X-INT RELCARRCLHHTR 217095,
Stearns,2131486,1087015H0DZF,STEARNS 1087015H0DZF BRAKE ASSY-INT 282001,
Stearns,2131503,108701500002,STEARNS 108701500002 BRK-RL TACH MACHVERT A 8027301,
Stearns,2131504,108701500003,STEARNS 108701500003 BRK-RL TACH MACHSPLN HUB 8098600,
Stearns,2131505,108701500005,STEARNS 108701500005 BRK-RL TACH MACHSPLN HUB 133160,
Stearns,2131506,108701500006,STEARNS 108701500006 BRK-RL TACH MACHSPLN HUB 133497,
Stearns,2131507,108701500009,STEARNS 108701500009 BRK-RL TACH MACHSPLN HUB 202516,
Stearns,2131511,108701505001,STEARNS 108701505001 BRK-DC SWCL HNOHUB 175210,
Stearns,2131527,108701600004,STEARNS 108701600004 BRK-REL TACH MACHW/ HUB 8027314,
Stearns,2131528,108701600005,STEARNS 108701600005 BRK-ODD VOLTAGE 125 VDC 127633,
Stearns,2131529,108701600007,STEARNS 108701600007 BRK-TACH MACHWARN SW 257076,
Stearns,2131552,1087021G0 QF,STEARNS 1087021G0 QF BRAKE ASSY-INT-LESS HUB 8027335,
Stearns,2131553,1087021G0 SF,STEARNS 1087021G0 SF BRAKE ASSY-INT-LESS HUB 8039733,
Stearns,2131559,1087021H0BLF,STEARNS 1087021H0BLF SVR-BRAKE ASSY-INT 8027336,
Stearns,2131573,1087021H0HLF,STEARNS 1087021H0HLF BRAKE ASSY-INT 145729,
Stearns,2131577,1087021Q0EBF,STEARNS 1087021Q0EBF BRAKE ASSY-INT 8071471,
Stearns,2131589,1087021U0DNF,STEARNS 1087021U0DNF BRAKE ASSY-INT 284426,
Stearns,2131624,108702100DPF,STEARNS 108702100DPF BRAKE ASSY-STD 8027370,
Stearns,2131641,108702100FEF,STEARNS 108702100FEF BRAKE ASSY-STD 280648,
Stearns,2131678,108702100002,STEARNS 108702100002 BRK-MISC MODS-LECTROMELT 8027383,
Stearns,2131679,108702100005,STEARNS 108702100005 BRK-RL TACH MACHW/O HUB 8027385,
Stearns,2131680,108702100006,STEARNS 108702100006 BRK-RL TACH MACHW/O HUB 8027386,
Stearns,2131681,108702100009,STEARNS 108702100009 BRK-RL TACH MACHW/O HUB 8027387,
Stearns,2131682,108702100035,STEARNS 108702100035 BRK-TACH MACHW/O SQ HUB 8004260,
Stearns,2131683,108702100040,STEARNS 108702100040 BRK-RL MACHCL HNO LDW 8027388,
Stearns,2131684,108702100042,STEARNS 108702100042 BRK-ODD VOLT 550V 40HZ 8067702,
Stearns,2131685,108702100053,STEARNS 108702100053 BRK-RL TACH MACHW/O HUB 8027392,
Stearns,2131686,108702100055,STEARNS 108702100055 BRK-RL TACH MCHVANO HUB 8027393,
Stearns,2131687,108702100056,STEARNS 108702100056 BRK-VERT AHD DISCNO HUB 8027394,
Stearns,2131688,108702100058,STEARNS 108702100058 BRK-SPACE HTR 220VNO HUB 8027395,
Stearns,2131689,108702100059,STEARNS 108702100059 BRK-VERT ABOVETHRU SHAFT 8027396,
Stearns,2131690,108702100061,STEARNS 108702100061 BRK-HVY DUTY DISCCLASS H 8027398,
Stearns,2131691,108702100065,STEARNS 108702100065 BRK-RL TACH MCHVANO HUB 8027402,
Stearns,2131692,108702100067,STEARNS 108702100067 BRK-THRU SHAFT W/O HUB 8039672,
Stearns,2131693,108702100068,STEARNS 108702100068 BRK-HVY DUTY DISCCLASS H 8046123,
Stearns,2131694,108702100078,STEARNS 108702100078 BRK-RL TACH MACHLESS HUB 8072476,
Stearns,2131695,108702100079,STEARNS 108702100079 CR BRZWR SWCL HIRSPLN 8073332,
Stearns,2131696,108702100080,STEARNS 108702100080 BRK-VERT ABOVECI HOUSING 8073419,
Stearns,2131697,108702100083,STEARNS 108702100083 BRK-OMIT EXTERNAL RELEASE 8082045,
Stearns,2131698,108702100084,STEARNS 108702100084 BR-SPLN HUB&DISC480V60HZ 8095027,
Stearns,2131699,108702100086,STEARNS 108702100086 RL TACH MACHSPLINED HUB 8095491,
Stearns,2131700,108702100088,STEARNS 108702100088 BRK-ODD 480V @ 60HZ 8096494,
Stearns,2131701,108702100089,STEARNS 108702100089 RL TACH MACHSPLINED HUB 8097472,
Stearns,2131702,108702100091,STEARNS 108702100091 BRK-SOL & MAN REL ACT SWS 8097929,
Stearns,2131703,108702100094,STEARNS 108702100094 BRK-VASIDE RELTHRU SHFT 8046884,
Stearns,2131704,108702100095,STEARNS 108702100095 THRU SHFTWRAPHSGSEALIR 8047251,
Stearns,2131705,108702100096,STEARNS 108702100096 BRK-RL TACH MACHSPLN HUB 8003222,
Stearns,2131706,108702100097,STEARNS 108702100097 BRK-VASIDE RELTHRU SHFT 8005159,
Stearns,2131707,108702100098,STEARNS 108702100098 BRK-HVY DUTY DISCCLASS H 8005826,
Stearns,2131708,108702100099,STEARNS 108702100099 BRK-ODD 480V @ 60HZCL H 8010360,
Stearns,2131709,108702100100,STEARNS 108702100100 BR-SQUARE FRIC DISCNOHUB 8006434,
Stearns,2131710,108702100101,STEARNS 108702100101 BRK-RL TACHVASPLN HUB 8002566,
Stearns,2131711,108702100102,STEARNS 108702100102 RL TACH MACHSPLINED HUB 8010781,
Stearns,2131712,108702100103,STEARNS 108702100103 BRK-ODD 400V @ 50HZ 8006908,
Stearns,2131713,108702100104,STEARNS 108702100104 BRK-STD BRK W/BLACK PAINT 8007286,
Stearns,2131714,108702100105,STEARNS 108702100105 BRK-STD. WITH TACH MACH. 8010974,
Stearns,2131715,108702100106,STEARNS 108702100106 BRK-RL TACH MACHW/ HUB 8010994,
Stearns,2131716,108702100107,STEARNS 108702100107 BRK-THRU SHAFTCL HFT MT 8008450,
Stearns,2131717,108702100108,STEARNS 108702100108 BRK-SQ HUB & FRIC DISC 8012621,
Stearns,2131718,108702100109,STEARNS 108702100109 BRK-RL TACH MACHSPLN HUB 8009265,
Stearns,2131719,108702100111,STEARNS 108702100111 BRK-ODD 460VAC @ 50HZ 8010039,
Stearns,2131720,108702100112,STEARNS 108702100112 BRK-VASIDE RELTHRU SHFT 8017631,
Stearns,2131721,108702100113,STEARNS 108702100113 BRK-RL TACHCL HW/ HUB 8018469,
Stearns,2131722,108702100114,STEARNS 108702100114 BRK-ODD 480V @ 60HZ 8028954,
Stearns,2131723,108702100115,STEARNS 108702100115 RL TACH MACHSPLINED HUB 124834,
Stearns,2131724,108702100116,STEARNS 108702100116 BRK-MANUAL ADJ ASSYCL H 127222,
Stearns,2131725,108702100117,STEARNS 108702100117 BRK-V/AHI-INERTIA FRIC D 127459,
Stearns,2131726,108702100118,STEARNS 108702100118 BRK-VERT ABOVETACH MACH 127585,
Stearns,2131727,108702100119,STEARNS 108702100119 BRK-CLASS HHI-INERTIA 133231,
Stearns,2131728,108702100120,STEARNS 108702100120 BRK-C.I. HSGTHRU SHAFT 134370,
Stearns,2131729,108702100121,STEARNS 108702100121 BRK-ODD 600V @ 60HZ 135008,
Stearns,2131730,108702100123,STEARNS 108702100123 BRK-RL TACH MACH 135794,
Stearns,2131731,108702100125,STEARNS 108702100125 BRK-SOL ACT WARN SWCL H 137421,
Stearns,2131732,108702100126,STEARNS 108702100126 BRK-ODD VOLT 208V@60HZ 138360,
Stearns,2131733,108702100127,STEARNS 108702100127 BRK-HVY DISCC.I. ENDPLT 145725,
Stearns,2131734,108702100132,STEARNS 108702100132 BRK-RL TACHCL HW/ HUB 154680,
Stearns,2131735,108702100133,STEARNS 108702100133 BRK-RL TACH W/THRU SHAFT 154822,
Stearns,2131736,108702100134,STEARNS 108702100134 BRK-RL TACH W/THRU SHAFT 156145,
Stearns,2131737,108702100135,STEARNS 108702100135 BRK-CL HHI-INMETAL PLGR 156547,
