id,catalog_number
5790181,CRX1000EC
5790180,CRX1000DE
5790179,CRX1000DC
5790178,CRX1000CE
5790177,CRX1000CC
5790176,CRX0900EE
5790175,CRX0900EC
5790174,CRX0900DE
5790173,CRX0900DC
5790172,CRX0900CE
5790171,CRX0900CC
5790170,CRX07D5NE
5790169,CRX07D5NC
5790168,CRX0750EE
5790167,CRX0750EC
5790166,CRX0750DE
5790165,CRX0750DC
5790164,CRX0750CE
5790163,CRX0750CC
5790162,CRX0700EE
5790161,CRX0700EC
5790160,CRX0700CE
5790159,CRX0700CC
5790158,CRX0600EE
5790157,CRX0600EC
5790156,CRX0600CE
5790155,CRX0600CC
5790154,CRX04D8PE
5790153,CRX04D8PC
5790152,CRX04D8NE
5790151,CRX04D8NC
5790150,CRX03D4NE
5790149,CRX03D4NC
5790148,CRX02D1PE
5790147,CRX02D1PC
5790146,CRX02D1NE
5790145,CRX02D1NC
5790144,CRX0291PE
5790143,CRX0291PC
5790142,CRX0291NE
5790141,CRX0291NC
5790140,CRX0219PE
5790139,CRX0219PC
5790138,CRX0219NE
5790137,CRX0219NC
5790136,CRX01D6NE
5790135,CRX01D6NC
5790134,CRX01D2NE
5790133,CRX01D2NC
5790132,CRX0183PE
5790131,CRX0183PC
5790130,CRX0183NE
5790129,CRX0183NC
5790128,CRX0160NE
5790127,CRX0160NC
5790126,CRX0147PE
5790125,CRX0147PC
5790124,CRX0147NE
5790123,CRX0147NC
5790122,CRX0130NE
5790121,CRX0130NC
5790120,CRX0111PE
5790119,CRX0111PC
5790118,CRX0096NE
5790117,CRX0096NC
5790116,CRX0089PE
5790115,CRX0089PC
5790114,CRX0089NE
5790113,CRX0089NC
5790112,CRX0080NE
5790111,CRX0080NC
5790110,CRX0065NE
5790109,CRX0065NC
5790108,CRX0055NE
5790107,CRX0055NC
5790106,CRX0045NE
5790105,CRX0045NC
5790104,CRX0033NE
5790103,CRX0033NC
5790102,CRX0025NE
5790101,CRX0025NC
5790100,CRX0023PE
5790099,CRX0023PC
5790098,CRX0023NE
5790097,CRX0023NC
5790096,CRX0021NE
5790095,CRX0021NC
5790094,CRX0018NE
5790093,CRX0018NC
5790092,CRX0014NE
5790091,CRX0014NC
5790090,CRX0011NE
5790089,CRX0011NC
5790088,CRX0008PE
5790087,CRX0008PC
5790086,CRX0008NE
5790085,CRX0008NC
5790084,CRX0003PE
5790083,CRX0003PC
5790082,CRX0003NE
5790081,CRX0003NC
5790080,CRX0002NE
5790079,CRX0002NC
5783451,SH3T0045KB2SG
5783158,MG3A0015SKSAFC0
5782480,MG3A0075RBSCFC0
5782479,MG3A0075SBSAFC0
5782145,SH3T0112PB2SG
5768950,D16
5122439,MG3A0045SKSAFC0
2839794,T3
2839793,T2
2839792,T1
2839265,SG4
2838921,SG2
2838920,SFK7
2838919,SFK6
2838918,SFK5
2838917,SFK4
2838916,SFK3
2838915,SFK2
2838914,SFK1
2838429,PD2
2838428,PD1
2838427,P2
2838416,P1
2838375,NW2
2838374,NQTW2
2838373,NQTW1
2838372,NQT9GK
2838371,NQT9AGK
2838370,NQT8GK
2838369,NQT7GK
2838368,NQT6GK
2838367,NQT5GK
2838366,NQT4GK
2838365,NQT3GK
2838364,NQT2GK
2838363,NQT11GK
2838362,NQT10GK
2838219,NMP7
2838218,NMP6
2838217,NMP5
2838216,NMP4
2838215,NMP3
2838214,NMP2
2838213,NMP1
2837818,NJ7000
2837817,NJ6000
2837813,NJ1007
2837812,NJ1006
2837811,NJ1005
2837810,NJ1004
2837809,NJ1003
2837808,NJ1002
2837807,NJ1001
2837806,NJ1000
2837804,NH6004
2837803,NH6003
2837802,NH6002
2837801,NH6001
2837800,NH6000
2837799,NH5DP
2837798,NH5004
2837797,NH5003
2837796,NH5002
2837795,NH5001
2837794,NH5000
2837793,NH4006
2837792,NH4005
2837791,NH4004
2837790,NH4003
2837789,NH4002
2837788,NH4001
2837787,NH4000
2837786,NH3006
2837785,NH3005
2837784,NH3004
2837783,NH3003
2837782,NH3002
2837781,NH3001
2837780,NH3000
2837043,FGF2
2837042,FGF1
2837041,FG5
2837040,FG4
2837039,FG3
2837038,FG2
2837037,FG1
2837036,EC6
2837035,EC5
2837034,EC3
2837033,EC2
2837032,EC1X6
2837031,EC1X5
2837030,EC1X25
2837029,EC15
2837028,EC12
2837027,EC10
2837026,EC1
2837025,EC0X75
2837024,EC0X5
2837023,DW3
2836655,DH6004
2836654,DH5009
2836653,DH5008
2836652,DH5007
2836651,DH5005
2836650,DH5003
2836649,DH5002
2836648,DH5001
2836647,DH4007
2836646,DH4005
2836645,DH4003
2836644,DH4002
2836643,DH4001
2836642,DH3007
2836641,DH3005
2836640,DH3003
2836639,DH3002
2836638,DH3001
2836637,DH2DP
2836636,DH2003
2836635,DH2002
2836634,DH2001
2836633,DH1DP
2836632,DH1003
2836631,DH1002
2836630,DH1001
2835855,CREN2
2835854,CREN1
2835853,CRECH6
2835852,CRECH5
2835851,CRECH4
2835850,CRECH2
