id,catalog_number,description,image,,,,,,
1436131,L04BL858M,L04BL858M Blue 85 8mm,,,,,,,
1436130,L04BL8585M,L04BL8585M Blue 85 8mm x 5mm,,,,,,,
1436129,L04BL856M,L04BL856M Blue 85 6mm,,,,,,,
1436128,L04BL855M,L04BL855M Blue 85 5mm,,,,,,,
1436127,L04BE958R,L04BE958R Beige 95 R 8mm,,,,,,,
1436126,L04BE9510R,L04BE9510R Beige 95 R 10mm,,,,,,,
1436125,L04BE95C,L04BE95C Beige 95 C/22,,,,,,,
1436124,L04BE95B,L04BE95B Beige 95 B/17,,,,,,,
1436123,L04BE958,L04BE958 Beige 95 8mm,,,,,,,
1436122,L04BE956M,L04BE956M Beige 95 6mm,,,,,,,
1436121,L04BE955M,L04BE955M Beige 95 5mm,,,,,,,
1436120,L04BE9515M,L04BE9515M Beige 95 15mm,,,,,,,
1436077,4999637,4999637 Green 89 7mm,,,,,,,
1436076,L04BL855MX30,L04BL855MX30 Blue 85 T 5mm,,,,,,,
1436075,1232179,1232179 Orange 85 7/16\,,"1232179""",,,,,
1436074,4940136,Fenner Drives 4940136 Green 89 Cg C/22,,,,,,,
1436073,4941107,4941107 Blue 80 MD 5/8\,,"4941107""",,,,,
1436037,4927007,4927007 Clear 80 EC 9.5mm,,,,,,,
1436035,4927005,4927005 Clear 80 EC 6.3mm,,,,,,,
1436028,4999388,4999388 Black 85 3/8\,,"4999388""",,,,,
1435998,L04C852T,L04C852T Clear 85 T 2mm,,,,,,,
1435990,4999533,4999533 Black 85 3L Twin,,,,,,,
1435985,L04G899,L04G899 Green 89 T 9mm,,,,,,,
1435984,L04G898MRS,L04G898MRS Green 89 R 8mm,,,,,,,
1435983,L04G8916MR,L04G8916MR Green 89 RT 16mm,,,,,,,
1435982,L04G8914M,L04G8914M Green 89 T 14mm,,,,,,,
1435981,L04G8912MS,L04G8912MS Green 89 12mm,,,,,,,
1435980,L04BR808,L04BR808 Brown 80 8mm,,,,,,,
1435974,4999250,4999250 Black 85 1/2\,,"4999250""",,,,,
1435973,4999236,Fenner Drives 4999236 Clear 85 T 10mm,,,,,,,
1435972,4999140,4999140 Black 85 3L,,,,,,,
1435971,4999031,4999031 Clear 85 T 5/16\,,"4999031""",,,,,
1435970,4999030,"Fenner Drives 4999030 Clear 85 T 1/4\""
""1435969",,4999028,"Fenner Drives 4999028 Clear 85 T 3/16\""
""1435968",4999026,Fenner Drives 4999026 Clear 85 T 7mm,,
1435967,4999023,4999023 Clear 85 T 3mm,,,,,,,
1435966,4999011,4999011 Clear 85 T 3/8\,,"4999011""",,,,,
1435965,4940127,Fenner Drives 4940127 Green 89 R B/17,,,,,,,
1435964,4918009,4918009 Black 85 3/16\,,"4918009""",,,,,
1435961,4910100,4910100 Clear 75 3L,,,,,,,
1435960,4909072,4909072 Red 85 C/22,,,,,,,
1435959,4909063,4909063 Red 85 3L,,,,,,,
1435958,4908002,4908002 Clear 85 1/16\,,"4908002""",,,,,
1435957,4905406,Fenner Drives 4905406 Green 89 6mm smooth100ft/box,,,,,,,
1435956,4905404,4905404 Green 89 4mm,,,,,,,
1435955,4905402,4905402 Green 89 2mm,,,,,,,
1435954,4905319,4905319 Green 89 T 19mm,,,,,,,
1435953,4903012,4903012 Blue 83 1/4\,,"4903012""",,,,,
1435952,4909066,Fenner Drives 4909066 Red 85 A/13,,,,,,,
1435951,4905033,4905033 Red 85 3/4\,,"4905033""",,,,,
1435950,4905018,"Fenner Drives 4905018 Red 85 3/8\""
""1435949",,4905009,"Fenner Drives 4905009 Red 85 3/16\""
""1435945",L04R8504,L04R8504 Red 85 4mm,,
1435939,L04G8920MS,L04G8920MS Green 89 20mm,,,,,,,
1435937,L04R85AXT,L04R85AXT Red 85 A Twin,,,,,,,
1435935,L04R855,L04R855 Red 85 5mm,,,,,,,
1435929,L04G898X5,L04G898X5 Green 89 8mm x 5mm,,,,,,,
1435928,L04G896MSR,L04G896MSR Green 89 R 6mm,,,,,,,
1435926,L04G893MS,L04G893MS Green 89 3mm,,,,,,,
1435925,L04G8920R,L04G8920R Green 89 RT 20mm,,,,,,,
1435924,L04G8918MS,L04G8918MS Green 89 18mm,,,,,,,
1435923,L04G8916M,L04G8916M Green 89 T 16mm,,,,,,,
1435917,L04BL854T,L04BL854T Blue 85 T 4mm,,,,,,,
1435916,L04BL854,L04BL854 Blue 85 4mm,,,,,,,
1435915,L04BL853M,L04BL853M Blue 85 3mm,,,,,,,
1435914,L04BL853L,L04BL853L Blue 85 3L,,,,,,,
1435913,L04BL8515,L04BL8515 Blue 85 15mm,,,,,,,
1435904,L04C8595,L04C8595 Clear 85 9.5mm,,,,,,,
1435890,4999423,4999423 Black 85 SD 5/16\,,"4999423""",,,,,
1435888,4940125,4940125 Green 89 RSGT PVC B/17,,,,,,,
1435886,4940122,4940122 Clear 85 B Wing-Top,,,,,,,
1435884,4940120,4940120 Clear 85 3L Crown-Top,,,,,,,
1435879,4940111,4940111 Clear 85 15mm,,,,,,,
1435875,4940095,4940095 Opaque 80 3L T-Top,,,,,,,
1435874,4940092,4940092 Green 89 T 20mm,,,,,,,
1435873,4999391,4999391 Black 85 SD 1/4\,,"4999391""",,,,,
1435871,4909069,4909069 Red 85 B/17,,,,,,,
1435846,4905715,4905715 Green 89 ST 15mm,,,,,,,
1435845,4905708,4905708 Green 89 ST 8mm,,,,,,,
1435844,4905707,4905707 Green 89 ST 7mm,,,,,,,
1435843,4905706,4905706 Green 89 ST 6mm,,,,,,,
1435842,4905704,4905704 Green 89 ST 4mm,,,,,,,
1435841,4905712,4905712 Green 89 ST 12mm,,,,,,,
1435840,4905705,4905705 Green 89 ST 5mm,,,,,,,
1435839,4905703,4905703 Green 89 ST 3mm,,,,,,,
1435838,4905710,4905710 Green 89 ST 10mm,,,,,,,
1435836,4999145,"Fenner Drives 4999145 Black 85 1/8\""
""1435834",,4999344,4999344 Blue 85 3L Twin,,,,
1435833,4999251,4999251 Black 85 1/4\,,"4999251""",,,,,
1435824,4999027,Fenner Drives 4999027 Clear 85 T 8mm,,,,,,,
1435823,4999143,4999143 Black 85 SD 3/8\,,"4999143""",,,,,
1435820,5299004,"Fenner Drives 5299004 Black 85 R 3/8\""
""1435816",,4905405,4905405 Green 89 5mm,,,,
1435815,4999014,4999014 Clear 85 T 6mm,,,,,,,
1435814,4999013,4999013 Clear 85 T 5mm,,,,,,,
1435809,4905024,4905024 Red 85 1/2\,,"4905024""",,,,,
1435808,4905012,"Fenner Drives 4905012 Red 85 1/4\""
""1435807",,4905006,"Fenner Drives 4905006 Red 85 1/8\""
""1435806",4999230,"Fenner Drives 4999230 Clear 85 T 1/8\""
""817623",5700620,5700620 Overlap Die Set Round 20mm
817622,5700613,5700613 Overlap Die Set C/22,,,,,,,
817621,5700612,5700612 Overlap Die Set B/17,,,,,,,
817620,5700611,5700611 Overlap Die Set A/13,,,,,,,
817619,5700610,5700610 Overlap Die Set Z/10,,,,,,,
817618,5700608,5700608 Overlap Die Set Round 18mm,,,,,,,
817617,5700606,5700606 Overlap Die Set Round 12mm,,,,,,,
817616,5700605,5700605 Overlap Die Set Round 10mm,,,,,,,
817615,5700604,5700604 Overlap Die Set Round 9mm,,,,,,,
817614,5700603,5700603 Overlap Die Set Round 8mm,,,,,,,
817613,5700602,5700602 Overlap Die Set Round 7mm,,,,,,,
817612,5700601,5700601 Overlap Die Set 6mm,,,,,,,
817611,5700600,5700600 Overlap Die Set Round 5mm,,,,,,,
817606,5700367,5700367 FreeStyle Welder End Cap,,,,,,,
817605,5700366,5700366 FreeStyle Welder Blade Assmbly,,,,,,,
817604,5700361,5700361 Heating Element&Power Cord240V,,,,,,,
817603,5700351,5700351 Plug Adapter - UK to EU,,,,,,,
817602,5700310,5700310 Control Box 240V,,,,,,,
817575,L04OP8015M,L04OP8015M Opaque 80 15mm M 30m,,,,,,,
817530,419002,0419002 PowerTwist BridgeTop B Tef 30m,,,,,,,
675220,5020009,"Fenner Drives 5020009 3/16\"" O-RING METAL S-HOOKS ZN",,,,,,,
668076,4093030,04093030 PowerTwist Friction,,,,,,,
668074,419270,0419270 PowerTwist Cushion T,,,,,,,
668069,4092030,04092030 PowerTwist Grnd Rnd 30 METERS/BX,,,,,,,
629652,4934101,"Fenner Drives 4934101 ULTRA MARINE BLUE QC 1/4\"" 100 ROLL",,,,,,,
155150,0410100-25,0410100-25 B POWERTWIST CUSHION TOP 25 FT,,,,,,,
155136,410105,0410105 A POWERTWIST CUSHION TOP 100,,,,,,,
155135,410100,0410100 B POWERTWIST CUSHION TOP 100,,,,,,,
155104,201010,0201010 NU-T-INSTALL TOOL 10/PK,,,,,,,
155057,4940078,4940078 3L EAGLE BEIGE 95R COG 100,,,,,,,
155048,4940068,4940068 C EAGLE ORANGE 85 R 100,,,,,,,
155043,4940063,"4940063 5/8\"" EAGLE ORANGE 85 R 100",,,,,,,
155042,4940062,"4940062 9/16\"" EAGLE ORANGE 85 R 100",,,,,,,
155029,4940033,4940033 25 MM V EAGLE RED 90 100 FT,,,,,,,
155028,4940032,4940032 20 MM V EAGLE RED 90 100 FT,,,,,,,
155027,4940031,4940031 18MM EAGLE RED 90 100,,,,,,,
155015,4940018,4940018 2MM EAGLE OPAQUE 80 100,,,,,,,
155013,4940016,4940016 25 MM V EAGLE OPAQUE 80 100 FT,,,,,,,
155011,4940014,4940014 20 MM V EAGLE OPAQUE 80 100 FT,,,,,,,
155010,4940013,4940013 18 MM EAGLE OPAQUE 80 100,,,,,,,
155009,4940012,4940012 15 MM EAGLE OPAQUE 80 100,,,,,,,
155008,4940011,"4940011 1/2\"" EAGLE OPAQUE 80 100",,,,,,,
155004,4940007,4940007 3L EAGLE OPAQUE 80 100,,,,,,,
155001,4940004,4940004 8MM EAGLE OPAQUE 80 100,,,,,,,
154999,4940002,4940002 5MM EAGLE OPAQUE 80 100,,,,,,,
154998,4940001,4940001 4MM EAGLE OPAQUE 80 100,,,,,,,
154997,4940000,4940000 3MM EAGLE OPAQUE 80 100,,,,,,,
154995,4935024,"4935024 1/2\"" QC CONNECTORS 20/PK",,,,,,,
154994,4935018,"4935018 3/8\"" QC CONNECTORS 20/PK",,,,,,,
154992,4935012,"4935012 1/4\"" QC CONNECTORS 25/PK",,,,,,,
154983,4934020,"4934020 5/8\"" YELLOW QUICKCONNECT 100",,,,,,,
154977,4930101,4930101 B EAGLE WHITE 40D SGT 100,,,,,,,
154976,4930100,4930100 A EAGLE WHITE 40D SGT 100,,,,,,,
154975,4924345,4924345 C EAGLE RED 85 CXF 100 FT,,,,,,,
154971,4920105,4920105 B EAGLE ORANGE 85 SGT 30 M,,,,,,,
154970,4920100,4920100 A EAGLE ORANGE 85 SGT 30 M,,,,,,,
154969,4917007,4917007 A MOD URE VGUIDE CLEAR 70 100,,,,,,,
154968,4917006,4917006 C URE V-GUIDE CLEAR 70 100 FT,,,,,,,
154967,4917005,4917005 B URE V-GUIDE CLEAR 70 100 FT,,,,,,,
154966,4917004,4917004 A URE V-GUIDE CLEAR 70 100 FT,,,,,,,
154965,4917003,4917003 3L URE V-GUIDE CLEAR 70 100 FT,,,,,,,
154964,4917002,4917002 8MM URE V-GUIDE CLEAR 70 100FT,,,,,,,
154963,4917001,4917001 6MM URE V-GUIDE CLEAR 70 100FT,,,,,,,
154961,4912070,4912070 BB CLEAR 85 100 FT,,,,,,,
154952,4911102,4911102 A HIGH TOP CLEAR 85 100,,,,,,,
154951,4911101,4911101 A HIGH TOP CLEAR 95 100,,,,,,,
154940,4911062,4911062 AA CLEAR 95 100 FT,,,,,,,
154841,5850300,5850300 #3 CHAIN BREAKER TIP,,,,,,,
154840,5850200,5850200 #2 CHAIN BREAKER TIP,,,,,,,
154839,5850100,5850100 #1 CHAIN BREAKER TIP,,,,,,,
154832,5700490,5700490 OVERLAP DIE SET B RIDGE-TOP,,,,,,,
154831,5700480,5700480 HYFEN DIE A CXR/CXF,,,,,,,
154830,5700476,5700476 HYFEN DIES C CXF/CXR,,,,,,,
154829,5700474,5700474 HYFEN DIE D CXF/CXR,,,,,,,
154828,5700472,5700472 HYFEN DIES B CXR/CXF,,,,,,,
154827,5700470,5700470 OVERLAP DIE SET A RIDGE-TOP,,,,,,,
154826,5700460,5700460 OVERLAP DIE SET D,,,,,,,
154825,5700457,5700457 OVERLAP DIE SET C,,,,,,,
154824,5700453,5700453 OVERLAP DIE SET B,,,,,,,
154823,5700440,5700440 OVERLAP DIE SET A,,,,,,,
154822,5700430,5700430 OVERLAP DIE SET 3/4\,,"5700430""",,,,,
154821,5700420,"FENNER 5700420 OVERLAP DIE SET 9/16\"" & 5/8\""
""154820",,5700410,"5700410 OVERLAP DIE SET 3/8\"" & 1/2\""
""154819",5700400,"5700400 OVERLAP DIE SET 1/4\"" & 5/16\""
""154818",5700390,5700390 HEATING ASSEMBLY KNOB MPB2 (K)
154817,5700380,5700380 SPRING OVERLAP WELDER (J),,,,,,,
154816,5700370,5700370 TEMPERATURE CONTROLLER (I),,,,,,,
154815,5700365,5700365 MAIN POWER CORD WELDER (H),,,,,,,
154814,5700360,5700360 HEATING ELEMENT POWER CORD (G) 110V,,,,,,,
154813,5700355,5700355 THERMOCOUPLE CONNECTOR (F),,,,,,,
154812,5700350,5700350 THERMO COUPLE WIRE (E),,,,,,,
154811,5700340,5700340 HOLD DOWN PIN (D),,,,,,,
154810,5700330,5700330 THUMB NUT (C),,,,,,,
154809,5700325,5700325 Z HEATING TIP 1 1/2X1 7/8 (B),,,,,,,
154808,5700300,5700300 CONTROL BOX (A),,,,,,,
154807,5700251,5700251 POWERTWIST CUSHION RIVET KIT,,,,,,,
154806,5700250,5700250 POWERTWIST CUSHIONTOP TOOL KIT,,,,,,,
154804,5700229,5700229 HOT KNIFE HEATING BIT,,,,,,,
154800,5700218,5700218 HOT KNIFE BLADE BIT 3\,,"5700218""",,,,,
154799,5700212,"FENNER 5700212 BLACK KNOBS 1/4\"" X 20",,,,,,,
154798,5700209,5700209 FLAT/V BELT ADAPTER PLATE,,,,,,,
154797,5700208,5700208 CLAMPING PLATE,,,,,,,
154796,5700203,5700203 BELT WELDER CASE,,,,,,,
154795,5700202,5700202 HEATING TOOL HOLDER,,,,,,,
154792,5700164,5700164 OVERLAP WELDING CASE,,,,,,,
154791,5700160,5700160 OVERLAP WELDER,,,,,,,
154788,RT4011,RT4011 (Old part # RT4001) ROTARY TENSIONER 4000 SERIES,,,,,,,
154787,RT4000,RT4000 ROTARY TENSIONER 4000 SERIES,,,,,,,
154780,RT1003-H,RT1003-H ROTARY TENSIONER,,,,,,,
154778,RT1001-H,RT1001-H ROTARY TENSIONER,,,,,,,
154756,NC2006L120.00,NC2006L120.00 TWIN A-BELT GUIDE,,,,,,,
154755,NC2003L120.00,NC2003L120.00 1-C V-BELT GUIDE,,,,,,,
154754,NC2002L120.00,NC2002L120.00 1-B V-BELT GUIDE,,,,,,,
154753,NC2001L120.00,NC2001L120.00 1-Z V-BELT GUIDE,,,,,,,
154752,NC2000L120.00,NC2000L120.00 1-Z V-BELT GUIDE,,,,,,,
154739,NC1007L120.00,"NC1007L120.00 3/4\"" ROUND BELT GUIDE",,,,,,,
154738,NC1006L120.00,"NC1006L120.00 3/16\"" ROUND BELT GUIDE",,,,,,,
154737,NC1005L120.00,"NC1005L120.00 5/8\"" ROUND BELT GUIDE",,,,,,,
154736,NC1004L120.00,"NC1004L120.00 9/16\"" ROUND BELT GUIDE",,,,,,,
154735,NC1003L120.00,"NC1003L120.00 1/2\"" ROUND BELT GUIDE",,,,,,,
154734,NC1002L120.00,"NC1002L120.00 3/8\"" ROUND BELT GUIDE",,,,,,,
154733,NC1001L120.00,"NC1001L120.00 5/16\"" ROUND BELT GUIDE",,,,,,,
154732,NC1000L120.00,"NC1000L120.00 1/4\"" ROUND BELT GUIDE",,,,,,,
154721,LX0015,LX0015 TENSIONER MOUNTING HARDWARE,,,,,,,
154720,LX0014,LX0014 TENSIONER HARDWAR 1/2 X 2.25\,,"LX0014""",,,,,
154719,LX0005,FENNER LX0005 TENSIONER MOUNTING HARDWARE,,,,,,,
154718,LX0004,LX0004 TENSIONER MOUNTING HARDWARE,,,,,,,
154717,LX0002,LX0002 TENSIONER MOUNTING HARDWARE,,,,,,,
154716,LX0001,LX0001 TENSIONER MOUNTING HARDWARE,,,,,,,
154715,LT3002-H,LT3002-H LINEAR TENSIONER,,,,,,,
154714,LT3002,LT3002 LINEAR TENSIONER,,,,,,,
154713,LT3001,LT3001 LINEAR TENSIONER,,,,,,,
154712,LT2002,LT2002 LINEAR TENSIONER,,,,,,,
154711,LT2001,LT2001 LINEAR TENSIONER,,,,,,,
154710,LT1002,LT1002 LINEAR TENSIONER,,,,,,,
154709,LT1001-L,LT1001-L LINEAR TENSIONER,,,,,,,
154708,LT1001,LT1001 LINEAR TENSIONER,,,,,,,
154445,V4B6280AL,"V4B6280AL 6.28\"" B SECTION V-BELT PULLEY",,,,,,,
154443,V3B6280AL,"V3B6280AL 6.28\"" B SECTION V-BELT PULLEY",,,,,,,
154391,F4B6280AL,"F4B6280AL 6.28\"" 4 5V BACK SIDE PULLEY",,,,,,,
154390,F4B6280,"F4B6280 6.28\"" 4 5V BACK SIDE PULLEY",,,,,,,
154389,F3B6280AL,"F3B6280AL 6.28\"" 3 B OR 3 5V SECTION",,,,,,,
154388,F3B6280,"F3B6280 6.28\"" 3 B OR 3 5V SECTION",,,,,,,
154387,F2B6280AL,"F2B6280AL 6.28\"" 2 B OR 2 5V SECTION",,,,,,,
154386,F2B6280,"F2B6280 6.28\"" 2 B OR 2 5V SECTION",,,,,,,
154385,F1B6280AL,"F1B6280AL 6.28\"" 1 B OR 1 5V SECTION",,,,,,,
154384,F1B6280,"F1B6280 6.28\"" 1 B OR 1 5V SECTION",,,,,,,
153820,AO0000200,AO0000200 WELDING IRON INSERT ADAPTOR,,,,,,,
