ððBrand,product_id,catalog_number,description,image
Stearns,2141838,817020302,STEARNS 817020302 BRKT-PLGR GUIDE-VALH-86 8037316,
Stearns,2141839,817020500,STEARNS 817020500 BRKT-PLGR GUIDE-VBDC-82 8022162,
Stearns,2141840,817020901,STEARNS 817020901 BRKT-SW MTG-LEVER REL 8037322,
Stearns,2141841,817022200,STEARNS 817022200 BRACKET-MICRO SW MTG-87 8065858,
Stearns,2141842,817022400,STEARNS 817022400 ACTUATOR-WARN SW-2.0^-87 8007839,
Stearns,2141843,817023100,STEARNS 817023100 MTG BRACKET-TERM BLOCK 8069576,
Stearns,2141844,817023200,STEARNS 817023200 BRKT-WARN SW-87000 8070284,
Stearns,2141845,817023300,STEARNS 817023300 BRKT-WARN SW-82000 8070749,
Stearns,2141846,817024400,STEARNS 817024400 BRACKET-WARN SW-87600 8005597,
Stearns,2141847,817050600,STEARNS 817050600 SUPPORT MANUAL RELEASE 8097803,
Stearns,2141848,817051100,STEARNS 817051100 BRACKET BRAKE ADJUST SW 8089549,
Stearns,2141849,817070601,STEARNS 817070601 REL PL-SOL LVR-SIDE REL 8037331,
Stearns,2141850,817070700,STEARNS 817070700 BRKT-MICRO SW-REL ROD SW 8037332,
Stearns,2141851,817071000,STEARNS 817071000 BRKT-SIDE REL SW 8037336,
Stearns,2141852,817140101,STEARNS 817140101 FAN GUARDSC AL-48100 8037340,
Stearns,2141853,817150300,STEARNS 817150300 FAN GUARD-USEM #174635 8037341,
Stearns,2141854,817150800,STEARNS 817150800 FAN GUARD-USEM #188302 8037343,
Stearns,2141855,817150900,STEARNS 817150900 FANPLASTIC-USEM #195872 8037344,
Stearns,2141856,817151000,STEARNS 817151000 FANPLASTIC-USEM #195873 8037345,
Stearns,2141857,817151100,STEARNS 817151100 BAFFLE PL-#363325 W/O OIL 8037346,
Stearns,2141858,817151200,STEARNS 817151200 FAN GUARD-USEM #372137 8037348,
Stearns,2141859,817151300,STEARNS 817151300 LIFTING LUG-USEM #362988 8037349,
Stearns,2141860,817151400,STEARNS 817151400 CSHH-LFT LUG-USEM#139997 8037350,
Stearns,2141861,817151500,STEARNS 817151500 FANPLASTIC-USEM #372929 8037351,
Stearns,2141862,817151602,STEARNS 817151602 SHFT EXTENDER-USEM#378736 153821,
Stearns,2141863,817152400,STEARNS 817152400 SHFT EXTENDER-USEM#343726 8040774,
Stearns,2141864,817152800,STEARNS 817152800 FANALUMINUM-LEESON 8072276,
Stearns,2141865,817170100,STEARNS 817170100 BAFFLE PL-#364194 W/O OIL 8037354,
Stearns,2141866,817170200,STEARNS 817170200 FAN GUARD-USEM #363373 8037356,
Stearns,2141867,817170300,STEARNS 817170300 LIFTING LUG-USEM #376890 8037357,
Stearns,2141868,817170500,STEARNS 817170500 FANPLASTIC-USEM #378428 8037359,
Stearns,2141869,817920401,STEARNS 817920401 MTG PL-#9 SOL-LOWER-1/4 8037369,
Stearns,2141870,817920402,STEARNS 817920402 MTG PL-#9 SOL-LOWER-5/16 8037370,
Stearns,2141871,817920501,STEARNS 817920501 MTG PL-#9 SOL-UPPER-1/4 8022170,
Stearns,2141872,817920502,STEARNS 817920502 MTG PL-#9 SOL-UPPER-5/16 8037372,
Stearns,2141873,817940100,STEARNS 817940100 SPACER-#2400 SOL-48000 8037373,
Stearns,2141874,817960201,STEARNS 817960201 MTG PL-#K9 SOL-UPPER 8037378,
Stearns,2141875,817970100,STEARNS 817970100 SPACER-#5 & #6 SOL 8022171,
Stearns,2141876,817970300,STEARNS 817970300 SPACER WARNING SW MICRO 8047212,
Stearns,2141877,817970500,STEARNS 817970500 SOL SPACER-#5&6 1/4MTG 195781,
Stearns,2141878,835000200,STEARNS 835000200 CSHH 1/4-20 X 5/8-G8ZINC 8037433,
Stearns,2141879,835000300,STEARNS 835000300 CS HH 5/16-18 X 3/4-L9PS 8022200,
Stearns,2141880,835000800,STEARNS 835000800 CS HH 1/4-20 X 1/2-L9PLS 8022201,
Stearns,2141881,835000900,STEARNS 835000900 CS HH 5/16-18 X 1/2-L9PS 8037436,
Stearns,2141882,835002200,STEARNS 835002200 CS HH 1/2-20 X 1^-DRSTL 8037440,
Stearns,2141883,835380900,STEARNS 835380900 SHLDR S SH-SHORT THD-SOL 8022204,
Stearns,2141885,845401600,STEARNS 845401600 SHIM (AS REQD) 8022422,
Stearns,2141886,845401601,STEARNS 845401601 SHIM PLATE 8038551,
Stearns,2141887,845401800,STEARNS 845401800 SPACER-FIBERGLASS#1161 2A 8038552,
Stearns,2141888,845401801,STEARNS 845401801 SPACER-86000 PLUNGER 8038553,
Stearns,2141889,901002200,STEARNS 901002200 BALL BRG-.6693ID/1.5748OD 8039607,
Stearns,2141890,901002900,STEARNS 901002900 BALL BRG-.9843ID/2.0472OD 8022950,
Stearns,2141891,901050600,STEARNS 901050600 BALL BRG-1.181ID/2.4409OD 8039620,
Stearns,2141892,901050900,STEARNS 901050900 BALL BRG-1.772ID/3.347OD 8039622,
Stearns,2141893,901650700,STEARNS 901650700 BALL BRG-.875ID/2.0472OD 8039626,
Stearns,2141894,901670600,STEARNS 901670600 BALL BRG-1.378ID/2.835OD 8039627,
Stearns,2141895,901670700,STEARNS 901670700 BALL BRG-1.250ID/2.4409OD 8022951,
Stearns,2141896,901670800,STEARNS 901670800 BALL BRG-1.250ID/2.4409OD 8022952,
Stearns,2141897,901670900,STEARNS 901670900 BALL BRG-2.165ID/3.937OD 8017612,
Stearns,2141898,901680100,STEARNS 901680100 BALL BRG-.250ID/.750OD 8022953,
Stearns,2141899,901680700,STEARNS 901680700 BALL BRG-2.5591ID/4.724OD 8039628,
Stearns,2141900,902000500,STEARNS 902000500 SEAL-2^ SHFT X .47 THK 8022958,
Stearns,2141901,902000601,STEARNS 902000601 SEAL-3/16 SHAFT 169924,
Stearns,2141902,902000800,STEARNS 902000800 SEAL-1.25 SHFT 8022959,
Stearns,2141903,902001000,STEARNS 902001000 SEAL-3.5 SHFT 8046018,
Stearns,2141904,902001400,STEARNS 902001400 SEAL-3.44 SHFT 8040705,
Stearns,2141905,902001500,STEARNS 902001500 SEAL-4.5 SHFT 8022960,
Stearns,2141906,902001700,STEARNS 902001700 SEAL-PULL RELEASE SHAFT 8039958,
Stearns,2141907,902002000,STEARNS 902002000 SEAL-5/16 SHFT 8040163,
Stearns,2141908,902003300,STEARNS 902003300 SEAL-3.125 SHAFT 8005181,
Stearns,2141909,902008000,STEARNS 902008000 SEAL-4.5 SHFT 8022968,
Stearns,2141910,902008100,STEARNS 902008100 SEAL-2.38 SHFT 8039959,
Stearns,2141911,902008200,STEARNS 902008200 SEAL-3.94 SHFT 8022969,
Stearns,2141912,902008300,STEARNS 902008300 SEAL-6.38 SHFT 8022970,
Stearns,2141913,902008600,STEARNS 902008600 SEAL-4.5 SHFT 8044410,
Stearns,2141914,902010000,STEARNS 902010000 SEAL-2.125 SHAFT 8088863,
Stearns,2141915,902010100,STEARNS 902010100 O-RING-3/8ID X 1/16CS 8022972,
Stearns,2141916,902011000,STEARNS 902011000 O-RING 1/16 D X 3/8 OD 8059723,
Stearns,2141917,902011300,STEARNS 902011300 O-RING 1/16 D X 7/16 OD 8022973,
Stearns,2141918,902011700,STEARNS 902011700 DNR-O RING-.19X.31OD BUNA 8059724,
Stearns,2141919,902011800,STEARNS 902011800 O-RING 3/32 D X 11/16 OD 8059725,
Stearns,2141920,902011900,STEARNS 902011900 O-RING-BUNA AS-568B-372 8047829,
Stearns,2141921,902012200,STEARNS 902012200 O-RINGVITON:AS-568B-008 8065983,
Stearns,2141922,902012300,STEARNS 902012300 O-RING:VITONAS-568B-012 8066112,
Stearns,2141923,902013800,STEARNS 902013800 O-RING-VITON AS-568B-378 155766,
Stearns,2141924,903000100,STEARNS 903000100 RET RINGEXT-.984 SHAFT 8040605,
Stearns,2141926,903000300,STEARNS 903000300 RET RINGINT-3.000 HSG B 8022974,
Stearns,2141927,903002000,STEARNS 903002000 RET RINGEXT-.500 SHAFT 8022982,
Stearns,2141928,903002800,STEARNS 903002800 RET RINGEXT-.312 SHAFT 8040171,
Stearns,2141930,903005700,STEARNS 903005700 RET RINGE RING-.188 SHFT 8022995,
Stearns,2141931,903006400,STEARNS 903006400 RET RINGINT-4.331 HSG B 8044570,
Stearns,2141933,903007900,STEARNS 903007900 RET RINGINT-1.574 HSG B 8040182,
Stearns,2141934,903011800,STEARNS 903011800 RET RINGEXT-1.312 SHAFT 8059729,
Stearns,2141935,903012600,STEARNS 903012600 RET RINGINT-3.346 HSG B 8023007,
Stearns,2141936,903013200,STEARNS 903013200 RET RINGEXT-1.188 SHAFT 8023009,
Stearns,2141937,903013300,STEARNS 903013300 RET RINGEXT-1.772 SHAFT 8023010,
Stearns,2141938,903016500,STEARNS 903016500 RET RINGINT-4.750 SHAFT 8059731,
Stearns,2141939,903016600,STEARNS 903016600 RET RINGPUSH ON-3/16 ID 8059732,
Stearns,2141940,903020800,STEARNS 903020800 RET RING EXT .984 SHAFT 8098444,
Stearns,2141941,903055200,STEARNS 903055200 THD INSERTSLOT 1/4-20 8023012,
Stearns,2141942,903055600,STEARNS 903055600 THD INSERT 1/2-13 8059736,
Stearns,2141943,903100300,STEARNS 903100300 LDW CLAMPNYLON-1/8 ID 8023013,
Stearns,2141944,903100400,STEARNS 903100400 LDW CLAMPNYLON-3/16 ID 8023014,
Stearns,2141945,903100500,STEARNS 903100500 LDW CLAMPNYLON-1/4 ID 8059738,
Stearns,2141946,903101600,STEARNS 903101600 SHFT COLLAR-1.38X2.25X.56 285525,
Stearns,2141947,903106001,STEARNS 903106001 FLANGETTE-#62MS MODIF. 8023015,
Stearns,2141948,90311010001D,STEARNS 90311010001D TAPER BUSHING 7/8^BORE 8008651,
Stearns,2141949,90311010001E,STEARNS 90311010001E TAPER BUSHING 1-1/8 BORE 8003600,
Stearns,2141950,90311010001F,STEARNS 90311010001F TAPER BUSHING 1-1/4^BORE 8008652,
Stearns,2141951,90311010001G,STEARNS 90311010001G TAPER BUSHING 1-3/8 BORE 8003601,
Stearns,2141952,90311020005H,STEARNS 90311020005H TAPER BUSHING 2-3/8 BORE 210775,
Stearns,2141953,90311020005N,STEARNS 90311020005N TAPER BUSHING 2-7/8 BORE 210777,
Stearns,2141954,90311040003J,STEARNS 90311040003J TAPER BUSHING 1-7/8^BORE 8015696,
Stearns,2141955,90311040003N,STEARNS 90311040003N TAPER BUSHING 2-1/8^BORE 8008766,
Stearns,2141956,90311120001L,STEARNS 90311120001L TAPER BUSHING 1^BORE 146186,
Stearns,2141957,904005000,STEARNS 904005000 SLV BRGBRZ-1/4 ID X 1/4 8040531,
Stearns,2141958,904006600,STEARNS 904006600 SLEEVE BRGMACHINED 8059742,
Stearns,2141959,904010001,STEARNS 904010001 SLEEVE BRGBRZ-3/8ID X1/2 8023099,
Stearns,2141960,904010101,STEARNS 904010101 SLEEVE BRGBRZ-3/8ID X 1L 8039949,
Stearns,2141961,904015000,STEARNS 904015000 SLV BRGBRZ-1/2 ID X 1/2 8039952,
Stearns,2141962,904100100,STEARNS 904100100 SLEEVE BEARING 1/2 SHAFT 8023100,
Stearns,2141963,909001000,STEARNS 909001000 MTG STUD-BRK-56700 8002517,
Stearns,2141964,909010600,STEARNS 909010600 CRG BOLT 1/4-20 X 2.5 PLS 8040017,
Stearns,2141965,909010800,STEARNS 909010800 CARRIAGE BOLT 1/4-20X3.63 124231,
Stearns,2141966,910241000,STEARNS 910241000 MSRH #4-40 X 5/8-PL STL 8059744,
Stearns,2141967,910260600,STEARNS 910260600 MSRH #6-32 X 3/8-PL STL 8023114,
Stearns,2141968,910261600,STEARNS 910261600 MSRH #6-32 X 1^-PL STEEL 8059747,
Stearns,2141969,910270600,STEARNS 910270600 MSRH #8-32 X 3/8-PL STL 8023119,
Stearns,2141970,910271200,STEARNS 910271200 MSRH #8-32 X 3/4-PL STL 8059748,
Stearns,2141971,910280600,STEARNS 910280600 MSRH #10-24 X 3/8-PL STL 8023122,
Stearns,2141972,910280800,STEARNS 910280800 MSRH #10-24 X 1/2-PL STL 8023123,
Stearns,2141973,910303200,STEARNS 910303200 MSRH 1/4-20 X 2^-PL STL 8081310,
Stearns,2141974,910480600,STEARNS 910480600 MSRH #10-24 X 3/8-STNL 8050052,
Stearns,2141975,911270800,STEARNS 911270800 MSFH #8-32 X 1/2-PL STL 8040414,
Stearns,2141976,911931000,STEARNS 911931000 MSFH #10-32 X 5/8-STNL 8023134,
Stearns,2141977,912301600,STEARNS 912301600 MSFIH 1/4-20 X 1^-PL STL 8023141,
Stearns,2141978,913301700,STEARNS 913301700 MSBH #6-32 X 1/4 BRASS 8039975,
Stearns,2141979,913306100,STEARNS 913306100 MSHH1/4-20X.88 STNL 8081378,
Stearns,2141980,914260300,STEARNS 914260300 SEMPPH #6-32 X 3/16-PLS 8059754,
Stearns,2141981,914270400,STEARNS 914270400 SEMSPPH#8-32 X 1/4-PL ST 8023153,
Stearns,2141982,915101700,STEARNS 915101700 CSFSH 5/16-18 X 3/4-STL 8059755,
Stearns,2141983,915102500,STEARNS 915102500 CSHH 3/8-16 X 6^-G5PLSTL 8059758,
Stearns,2141984,915103100,STEARNS 915103100 CSFSH 1/4-20X1.5-PL STL 8040830,
Stearns,2141985,915103300,STEARNS 915103300 CSFSH 1/4-20 X 3/4-STEEL 8059759,
Stearns,2141986,915105000,STEARNS 915105000 CSFSH 1/2-13 X 1.25-PLST 8023155,
Stearns,2141987,916280900,STEARNS 916280900 MSHH #10-24 X 9/16-PLS 8023161,
Stearns,2141988,916281000,STEARNS 916281000 MSHH #10-24 X 5/8-PL STL 8023162,
Stearns,2141989,916282000,STEARNS 916282000 MSHH #10-24 X 1.25-PLS 8059762,
Stearns,2141990,916300800,STEARNS 916300800 CSHH 1/4-20 X 1/2-G5 PLS 8023163,
Stearns,2141991,916301200,STEARNS 916301200 CSHH 1/4-20 X 3/4-G5 PLS 8059763,
Stearns,2141992,916301400,STEARNS 916301400 CSHH 1/4-20 X 7/8-G5 PLS 8087669,
Stearns,2141993,916301401,STEARNS 916301401 CSHH 1/4-20 X 7/8-G8 PLS 8098077,
Stearns,2141994,916311600,STEARNS 916311600 CSHH 5/16-18 X 1^-G5 PLS 8023164,
Stearns,2141995,916321200,STEARNS 916321200 CSHH 3/8-16 X 3/4-G5 PLS 8096760,
Stearns,2141996,916323200,STEARNS 916323200 CSHH 3/8-16 X 2^-G5 PLS 8059767,
Stearns,2141997,916342400,STEARNS 916342400 CSHH 1/2-13 X 1.5-G5 PLS 8023166,
Stearns,2141998,916348600,STEARNS 916348600 CSHH 1/2-13 X 7^-G5 Z PL 8018537,
Stearns,2141999,916511600,STEARNS 916511600 CSHH 5/16-18 X 1^-STNL 8059768,
Stearns,2142000,916521600,STEARNS 916521600 CSHH 3/8-16 X 1^-STNL 8071517,
Stearns,2142001,916522000,STEARNS 916522000 CSHH 3/8-16 X 1.25-STNL 8097024,
Stearns,2142002,917114000,STEARNS 917114000 CSSH 5/16-18 X 2.5-STEEL 8059770,
Stearns,2142003,917122800,STEARNS 917122800 CSSH 3/8-16 X 1.75-STEEL 8023173,
Stearns,2142004,917123200,STEARNS 917123200 CSSH 3/8-16 X 2^-STEEL 8023174,
Stearns,2142005,917123600,STEARNS 917123600 CSSH 3/8-16 X 2.25-STEEL 8023175,
Stearns,2142006,917141200,STEARNS 917141200 CSSH 1/2-13 X 3/4-STEEL 8023177,
Stearns,2142007,917142000,STEARNS 917142000 CSSH 1/2-13 X 1.25-STEEL 8059771,
Stearns,2142008,917162400,STEARNS 917162400 CSSH 5/8-11 X 1.5-STEEL 8023184,
Stearns,2142009,917281200,STEARNS 917281200 CSSH #10-24 X 3/4-PL STL 8023187,
Stearns,2142010,917301000,STEARNS 917301000 CSSH 1/4-20 X 5/8-PL STL 8023188,
Stearns,2142011,917301400,STEARNS 917301400 CSSH 1/4-20 X 7/8-PL STL 8023189,
Stearns,2142012,917302000,STEARNS 917302000 CSSH 1/4-20 X 1.25 8023190,
Stearns,2142013,917311600,STEARNS 917311600 CSSH 5/16-18 X 1^-PL STL 8023191,
Stearns,2142014,917312000,STEARNS 917312000 CSSH 5/16-18 X 1.25-PLS 8023192,
Stearns,2142015,917321000,STEARNS 917321000 CSSH 3/8-16 X 5/8-PL STL 8023193,
